drop_table_id,name,rows,gear_rows,nothing,gold,consumable,gear,grades,guaranteed_secondary,scatter
20085,drops_Centaurus,30,16,0.0,0.0,0.898409893992933,0.10159010600706717,4,0,0
20086,drops_Giant-Lizard,29,15,0.0,0.0,0.9023957409050578,0.0976042590949423,4,0,0
20087,drops_MasterMage-Orc,26,12,0.0,0.0,0.9023957409050578,0.0976042590949423,3,0,0
20088,drops_Minotaurs,29,15,0.0,0.0,0.9023957409050578,0.0976042590949423,4,0,0
20089,drops_Nizie,31,17,0.0,0.0,0.8789974070872949,0.12100259291270525,3,0,0
20090,drops_Wyvern,31,17,0.0,0.0,0.87146529562982,0.12853470437018,5,1,15
20091,drops_Fire-Wyvern,31,17,0.0,0.0,0.87146529562982,0.12853470437018,5,1,15
20092,drops_Abaddon,33,19,0.0,0.0,0.8640611724723875,0.13593882752761258,5,1,20
20093,drops_AGT-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20094,drops_AGT-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20095,drops_CGT-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20096,drops_CGT-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20097,drops_MS-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20098,drops_MS-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20099,drops_DT-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20100,drops_DT-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20101,drops_ESG-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20102,drops_ESG-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20103,drops_GMG-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20104,drops_GMG-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20105,drops_ManaStone,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20106,drops_LWB-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20107,drops_LWB-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20108,drops_GHK,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20109,drops_GHKABS,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20110,drops_TK,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20111,drops_BG,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20112,drops_XB-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20113,drops_XB-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20114,drops_XW-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20115,drops_XW-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20116,drops_XY-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20117,drops_XY-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20118,drops_YB-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20119,drops_YB-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20120,drops_YW-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20121,drops_YW-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20122,drops_YY-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20123,drops_YY-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20124,drops_CP-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20125,drops_CP-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20126,drops_Sor-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20127,drops_Sor-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20128,drops_ATK-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20129,drops_ATK-Evline,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20130,drops_Elf-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20131,drops_Elf-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20132,drops_DSK-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20133,drops_DSK-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20134,drops_HBT-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20135,drops_HBT-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20136,drops_CT-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20137,drops_CT-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20138,drops_Bar-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20139,drops_Bar-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20140,drops_AGC-Aresden,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
20141,drops_AGC-Elvine,7,0,0.0,0.0,1.0000000000000002,0.0,1,0,0
