npc_id,name,exp_max,hp_max,drop_table_id,current_grade,proposed_grade,reason
109,Crossbow Turret,0,4800,20136,2,1,exp_max < 50
110,Crossbow Turret,0,4800,20137,2,1,exp_max < 50
111,Barbarian,0,2100,20138,2,1,exp_max < 50
112,Barbarian,0,2100,20139,2,1,exp_max < 50
113,Ancient Giant Cannon,0,6000,20140,2,1,exp_max < 50
114,Ancient Giant Cannon,0,6000,20141,2,1,exp_max < 50
116,Vince,0,60,0,2,1,exp_max < 50
0,Slime,13,10,20010,2,1,exp_max < 50
3,Giant Ant,23,15,20016,2,1,exp_max < 50
1,Rabbit,34,20,20071,2,1,exp_max < 50
2,Cat,39,20,20072,2,1,exp_max < 50
4,Snake,39,20,20022,2,1,exp_max < 50
5,Orc,40,20,20014,2,1,exp_max < 50
9,Giant Scorpion,90,36,20017,2,2,exp_max < 2000
6,Dummy,112,60,20073,2,2,exp_max < 2000
10,Skeleton,128,48,20011,2,2,exp_max < 2000
8,Zombie,161,60,20018,2,2,exp_max < 2000
7,Attack Dummy,182,60,20074,2,2,exp_max < 2000
11,Orc Mage,191,72,20075,2,2,exp_max < 2000
13,Stone Golem,475,150,20012,2,2,exp_max < 2000
12,Clay Golem,574,180,20023,2,2,exp_max < 2000
14,Helhound,683,210,20027,2,2,exp_max < 2000
15,Frog,683,210,20076,2,2,exp_max < 2000
16,Rudolph,790,240,20077,2,2,exp_max < 2000
17,Troll,1108,330,20028,2,2,exp_max < 2000
18,Cyclops,1235,360,20013,2,2,exp_max < 2000
19,Ice Golem,1235,360,20078,2,2,exp_max < 2000
26,Giant Crayfish,1480,420,20082,2,2,exp_max < 2000
25,Tentocle,1685,480,20081,2,2,exp_max < 2000
27,Giant Tree,2122,600,20083,2,3,exp_max < 7000
20,Beholder,2141,600,20053,2,3,exp_max < 7000
21,Plant,2234,630,20079,2,3,exp_max < 7000
23,Mountain Giant,2236,600,20058,2,3,exp_max < 7000
22,Ogre,2503,690,20029,2,3,exp_max < 7000
33,Claw Turtle,2696,720,20084,2,3,exp_max < 7000
24,Direboar,2790,780,20080,2,3,exp_max < 7000
29,Stalker,2930,780,20048,2,3,exp_max < 7000
28,Liche,2953,780,20030,2,3,exp_max < 7000
32,Frost,2953,780,20063,2,3,exp_max < 7000
31,Darkelf,3025,840,20054,2,3,exp_max < 7000
30,Werewolf,3124,840,20033,2,3,exp_max < 7000
35,Ettin,4277,1080,20059,2,3,exp_max < 7000
41,Master Mage Orc,5851,1500,20087,2,3,exp_max < 7000
43,Nizie,6773,1680,20089,2,3,exp_max < 7000
36,Demon,8563,2040,20031,2,4,exp_max >= 7000
37,Unicorn,8563,2040,20032,2,4,exp_max >= 7000
42,Minotaur,8789,2040,20088,2,4,exp_max >= 7000
39,Centaur,8933,2100,20085,2,4,exp_max >= 7000
117,Griffin,8933,2100,20085,2,4,exp_max >= 7000
38,Gargoyle,10242,2400,20052,2,4,exp_max >= 7000
40,Giant Lizard,11296,2700,20086,2,4,exp_max >= 7000
34,Dragon,12521,3000,20070,2,4,exp_max >= 7000
44,Helclaw,26678,6000,20049,2,5,Apocalypse boss roster
47,Fire Wyvern,30119,18000,20091,2,5,Apocalypse boss roster
45,Tiger Worm,55879,12000,20050,2,5,Apocalypse boss roster
46,Wyvern,74990,15000,20090,2,5,Apocalypse boss roster
48,Abaddon,449990,90000,20092,2,5,Apocalypse boss roster
